Levels_List_Python,AllPairsPy_Count,AllPairsPy_Time,NWisePy_Count,NWisePy_Time,TestFlows_Count,TestFlows_Time,ACTS_Count,ACTS_Time,Jenny_Count,Jenny_Time,PICT_Count,PICT_Time,QuadCA_Count,sum_levels
"[16, 3, 18, 22, 7, 12, 14, 8, 13, 11, 15, 30, 26, 2, 6, 4, 9, 26, 6, 27, 30, 25, 15, 6, 18, 17, 10, 10, 14, 13]",1186,28.052427393966354,1503,10.661423919955269,1166,12.042403782019392,958,0.3915569739765487,1074,2.930185936042108,1067,1.0393719840212725,929,433
"[28, 4, 23, 20, 12, 24, 16, 16, 6, 16, 12, 2, 6, 2, 15, 30, 28, 15, 2, 23, 20, 24, 14, 26, 6, 30, 10, 17, 22, 4]",1338,34.83718903397676,1668,15.487391214002855,1297,14.269478329981212,1001,0.4414872760535218,1135,4.369604520965368,1146,1.3201176449656489,972,473
"[5, 2, 28, 16, 16, 20, 16, 18, 14, 23, 25, 15, 12, 16, 21, 12, 14, 2, 14, 3, 24, 21, 13, 20, 26, 6, 18, 13, 11, 21]",1065,27.35504529200261,1344,13.620657312043477,1075,11.723605747974943,802,0.4179378290427848,939,3.794247237034142,921,1.03030697099166,773,465
"[3, 6, 14, 4, 19, 13, 16, 30, 14, 11, 22, 9, 17, 28, 15, 13, 7, 5, 26, 7, 29, 29, 3, 25, 28, 3, 7, 15, 10, 3]",1257,28.486739092040807,1670,11.664887574966995,1295,12.67415620898828,1032,0.4119971189647913,1130,3.108550888020545,1144,1.0950612959568389,976,431
"[9, 24, 11, 29, 22, 9, 21, 21, 3, 26, 11, 23, 16, 3, 12, 10, 21, 24, 21, 3, 5, 20, 9, 18, 18, 8, 6, 2, 22, 9]",982,21.778272925992496,1295,8.77529673097888,1035,9.858306868991347,854,0.4149063249933533,947,3.096369352017064,915,0.9100550869479777,792,436
"[21, 9, 3, 20, 15, 14, 14, 8, 12, 19, 16, 9, 11, 9, 8, 15, 8, 17, 21, 12, 23, 12, 4, 21, 9, 5, 16, 6, 7, 7]",751,14.113723106042016,881,4.290577294013929,735,5.930620278988499,555,0.3633807460428215,652,1.569346136006061,645,0.4861716010491363,544,371
"[2, 14, 29, 22, 26, 11, 5, 5, 18, 23, 29, 3, 18, 18, 7, 24, 21, 21, 21, 11, 8, 7, 4, 27, 24, 17, 18, 8, 7, 24]",1164,30.551197860040705,1577,16.576769839040935,1208,13.390226202027408,951,0.3895376240252517,1075,4.27361250697868,1053,1.2102039680466987,899,472
"[24, 25, 30, 23, 10, 23, 4, 24, 19, 5, 10, 21, 14, 17, 14, 28, 22, 25, 27, 7, 9, 23, 16, 12, 3, 29, 21, 20, 18, 8]",1339,39.12104543100577,1332,18.10295915801544,1317,16.153454443032388,1017,0.4707391199772246,1148,6.216856541053858,1133,1.617186484974809,968,531
"[14, 12, 14, 18, 26, 5, 17, 8, 19, 4, 14, 5, 9, 29, 21, 6, 15, 23, 11, 11, 6, 10, 5, 12, 29, 30, 24, 16, 10, 12]",1207,31.05283221998252,1415,9.02077578002354,1191,11.96996290498646,907,0.3939651340479031,1064,2.901839998026844,1057,1.046733874012716,938,435
"[16, 29, 9, 11, 20, 29, 4, 14, 8, 20, 17, 12, 17, 10, 7, 13, 7, 14, 11, 12, 8, 2, 6, 15, 13, 17, 12, 5, 12, 3]",866,15.43596021400299,865,6.895515270007309,878,7.114484730991535,857,0.356390408007428,914,1.560362507996615,841,0.6376175290206447,841,373
"[22, 8, 13, 21, 2, 7, 16, 20, 18, 24, 30, 5, 13, 28, 25, 13, 10, 7, 17, 17, 30, 12, 22, 3, 2, 11, 5, 30, 28, 5]",1343,34.479803772992454,1724,12.697568448027596,1354,14.119363147998229,1017,0.4172368759755045,1166,4.052658226981293,1187,1.308615809015464,1002,464
"[15, 21, 9, 25, 4, 15, 12, 11, 6, 7, 13, 5, 4, 5, 24, 25, 3, 25, 4, 10, 26, 8, 26, 7, 17, 3, 28, 13, 24, 5]",1128,26.96678115997929,1371,8.609538474993315,1113,10.185922572971322,901,0.4160638059838675,950,2.371068635955453,993,0.8386520150233991,834,400
"[25, 9, 26, 3, 18, 20, 8, 24, 9, 11, 10, 19, 6, 21, 21, 24, 27, 16, 26, 14, 9, 28, 12, 23, 18, 13, 17, 14, 15, 11]",1183,33.687322432990186,1463,12.402009996993002,1158,13.82861414598301,899,0.4682348860078491,1009,4.6409246629918925,1020,1.2832631819765083,861,497
"[4, 27, 30, 23, 30, 9, 20, 14, 12, 19, 4, 25, 20, 16, 14, 17, 19, 26, 29, 12, 13, 24, 3, 7, 25, 30, 30, 21, 10, 30]",1535,54.63578868698096,2043,26.492238674953114,1565,20.54838275403017,1166,0.5321149660157971,1285,7.957137154997326,1318,2.088240701006725,1115,563
"[20, 26, 9, 22, 12, 7, 28, 4, 18, 29, 23, 23, 12, 15, 21, 29, 14, 3, 23, 19, 23, 25, 30, 26, 22, 15, 2, 11, 16, 25]",1380,44.87475098803407,1607,17.038518047018442,1427,18.66378870402696,1076,0.4862995019648224,1190,7.21125228801975,1199,1.8395524970255792,1013,552
"[2, 6, 21, 24, 17, 23, 8, 29, 27, 25, 3, 29, 16, 7, 3, 3, 18, 23, 15, 16, 17, 26, 9, 12, 16, 5, 4, 3, 13, 23]",1125,26.343248971970752,1519,13.929974785016384,1144,11.505313279980328,941,0.3975608119508251,1051,3.31253886903869,1039,1.052890537015628,900,443
"[18, 13, 29, 29, 3, 29, 27, 17, 12, 18, 23, 12, 27, 11, 16, 27, 12, 11, 15, 2, 12, 9, 12, 4, 25, 20, 20, 29, 5, 11]",1350,36.3521751370281,1625,12.385688605019824,1325,14.696846862032544,1054,0.4457901929854415,1164,4.971227985050064,1137,1.4358969709719531,997,498
"[11, 28, 5, 15, 5, 27, 25, 9, 28, 8, 19, 23, 5, 6, 12, 28, 15, 2, 27, 7, 8, 22, 30, 22, 15, 5, 29, 7, 9, 27]",1368,39.9544544609962,1787,14.097399337042589,1396,15.373247006034944,1100,0.431902521988377,1176,4.613749956013635,1207,1.432411639019847,1023,479
"[8, 23, 28, 21, 12, 25, 12, 3, 28, 20, 13, 20, 10, 30, 17, 9, 28, 27, 30, 18, 12, 21, 18, 7, 26, 15, 25, 19, 22, 25]",1350,49.84594060701784,1842,22.436953155032825,1429,20.291106300021056,1102,0.5085018409881741,1224,7.847113366995472,1233,2.0354620469734077,1039,572
"[16, 9, 5, 23, 3, 26, 24, 14, 6, 5, 29, 8, 19, 30, 2, 8, 13, 3, 12, 4, 13, 27, 4, 17, 4, 12, 14, 29, 4, 16]",1214,28.132300799014047,1534,8.50475009396905,1163,10.533717732992956,943,0.3751185109722428,1076,2.350909107015468,1078,0.9072630149894394,936,399
"[9, 5, 23, 30, 18, 5, 20, 22, 10, 12, 29, 11, 23, 30, 27, 10, 21, 5, 21, 27, 28, 23, 26, 30, 15, 4, 30, 24, 23, 30]",1567,56.1099528579507,2159,31.31373141298536,1653,24.298465121013574,1215,0.556655218009837,1327,9.566197632986588,1365,2.3848153889994137,1154,591
"[6, 19, 8, 6, 29, 12, 4, 10, 5, 28, 28, 19, 4, 17, 12, 8, 4, 26, 15, 16, 12, 9, 27, 3, 12, 17, 11, 10, 13, 15]",1074,22.82013231399469,1343,7.669535517983604,1055,10.317394773999697,909,0.3919145700056106,1009,2.279090691008605,987,0.868563415016979,881,405
"[5, 4, 8, 29, 15, 19, 2, 14, 5, 4, 28, 27, 6, 14, 16, 3, 9, 2, 8, 20, 30, 11, 9, 15, 4, 7, 20, 19, 24, 13]",1145,25.241045412956737,1402,8.208886912034359,1097,10.5466788780177,895,0.3599470179760828,1041,2.14755111199338,999,0.793517537007574,910,390
"[14, 5, 4, 3, 19, 15, 4, 15, 16, 22, 21, 9, 8, 19, 25, 2, 4, 23, 5, 25, 25, 11, 2, 21, 29, 13, 19, 15, 11, 27]",1153,30.961918418004643,1485,11.674362187972292,1148,11.821527911990415,862,0.3952209409908391,976,3.0722568460041657,985,0.9569060649955644,828,431
"[8, 20, 21, 29, 19, 25, 13, 14, 20, 25, 2, 8, 27, 19, 3, 11, 27, 17, 18, 8, 3, 24, 12, 27, 22, 13, 21, 13, 25, 9]",1197,32.45180589100346,1572,14.12196895800298,1276,15.400319976033645,947,0.452103437972255,1072,5.148711154004559,1086,1.4218452509958297,907,503
"[27, 18, 12, 8, 25, 19, 23, 3, 13, 22, 28, 21, 22, 22, 12, 3, 7, 12, 24, 15, 12, 15, 14, 14, 7, 3, 16, 24, 24, 10]",1080,26.37386759801302,1244,11.248746363969984,1119,11.85459910199279,890,0.4184377280180342,973,4.088812952977605,998,1.1701662879786454,827,475
"[13, 30, 15, 18, 11, 22, 9, 19, 4, 25, 13, 24, 5, 6, 23, 12, 28, 16, 10, 4, 7, 6, 25, 2, 28, 9, 11, 5, 8, 26]",1196,25.935710950987414,1473,9.582221779040992,1226,11.593261287955102,946,0.3985575760016218,1054,3.139300053997431,1077,1.0500349160283804,909,434
"[4, 23, 13, 3, 5, 9, 13, 13, 4, 21, 17, 4, 24, 21, 17, 18, 3, 28, 24, 4, 27, 25, 8, 4, 30, 3, 15, 21, 21, 27]",1254,34.33914172096411,1651,13.945999563031364,1247,13.443953148031142,953,0.4274407409830019,1075,3.6752364140120335,1087,1.1433811070164666,909,449
"[2, 29, 19, 21, 30, 5, 24, 16, 10, 24, 14, 11, 6, 2, 28, 28, 3, 30, 9, 25, 8, 22, 5, 8, 3, 25, 25, 15, 11, 14]",1277,31.255363497999497,1775,17.735529978002887,1322,14.82192879600916,1070,0.4394325829925947,1183,4.345075350021944,1176,1.341848211013712,1010,472
"[29, 20, 5, 8, 26, 25, 29, 26, 3, 28, 27, 15, 4, 19, 14, 18, 25, 24, 20, 27, 30, 28, 9, 20, 6, 16, 14, 24, 5, 12]",1425,40.78348906501196,1647,19.01715798699297,1456,19.051805145980325,1163,0.5897946420009248,1227,7.579146011965349,1244,1.9293067999533375,1070,556
"[10, 2, 20, 12, 14, 7, 8, 9, 8, 22, 11, 16, 20, 3, 23, 2, 5, 4, 18, 28, 23, 19, 15, 19, 28, 5, 23, 19, 8, 22]",1062,27.43918503198074,1347,11.059325369016731,1072,10.720640452986116,830,0.390515653998591,939,2.7606415059999563,928,0.8742342959740199,795,423
"[10, 23, 7, 11, 7, 17, 25, 7, 4, 27, 29, 20, 4, 29, 30, 8, 22, 25, 11, 23, 24, 17, 29, 18, 2, 29, 17, 10, 23, 30]",1478,48.06527929898584,1973,21.18347188300686,1523,20.17138748400612,1154,0.4910187519853934,1259,6.990163790003862,1283,1.9073015610338189,1085,538
"[23, 14, 25, 28, 8, 4, 21, 9, 23, 21, 13, 27, 26, 13, 10, 12, 30, 24, 13, 17, 15, 26, 6, 17, 12, 11, 16, 21, 29, 19]",1357,40.68719812401105,1624,14.674204186012505,1333,16.95583372999681,1012,0.468551039986778,1150,5.978492626047228,1117,1.6048990110284649,970,533
"[17, 17, 20, 18, 25, 29, 29, 2, 3, 4, 24, 6, 5, 5, 21, 23, 27, 18, 25, 13, 25, 18, 7, 25, 27, 11, 8, 15, 22, 24]",1247,36.55572738405317,1501,15.714944566017948,1375,17.46919638395775,1028,0.4423560739960521,1125,5.630034078960307,1136,1.5222628050250933,956,513
"[6, 12, 16, 26, 20, 3, 9, 10, 9, 6, 4, 6, 29, 13, 28, 5, 19, 19, 18, 26, 29, 3, 28, 23, 17, 3, 9, 25, 7, 18]",1197,30.92673962598201,1586,12.151626934006345,1236,13.386418548005167,989,0.3994666259968653,1099,3.517849510011729,1107,1.1334010480204595,945,446
